序号,标题,链接,导演,主演,年份,国家,类型,评分,评价人数,简介
18,无间道,https://movie.douban.com/subject/1307914/,刘伟强 / 麦兆辉,刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,2002,中国香港,剧情 犯罪 惊悚,9.3,1507275人评价,香港电影史上永不过时的杰作。
19,控方证人,https://movie.douban.com/subject/1296141/,比利·怀尔德 Billy Wilder,泰隆·鲍华 Tyrone Power / 玛琳·...,1957,美国,剧情 犯罪 悬疑 惊悚,9.6,668930人评价,比利·怀德满分作品。
20,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,1658364人评价,一生所爱。
21,熔炉,https://movie.douban.com/subject/5912992/,黄东赫 Dong-hyuk Hwang,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011,韩国,剧情,9.3,1007592人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
22,触不可及,https://movie.douban.com/subject/6786002/,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,,2011,法国,剧情 喜剧,9.3,1244777人评价,满满温情的高雅喜剧。
23,教父,https://movie.douban.com/subject/1291841/,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M...,1972,美国,剧情 犯罪,9.3,1064479人评价,千万不要记恨你的对手，这样会让你失去理智。
24,寻梦环游记,https://movie.douban.com/subject/20495023/,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,2017,美国,喜剧 动画 奇幻 音乐,9.1,1887788人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
25,当幸福来敲门,https://movie.douban.com/subject/1849031/,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯 Will Smith ...,2006,美国,剧情 传记 家庭,9.1,1639609人评价,平民励志片。
26,末代皇帝,https://movie.douban.com/subject/1293172/,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone / 陈...,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,9.3,988295人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
27,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,Chris Columbus,Daniel Radcliffe / Emma Watson / Rupert Grint,2001,美国 英国,奇幻 冒险,9.2,1359976人评价,童话世界的开端。
28,龙猫,https://movie.douban.com/subject/1291560/,宫崎骏 Hayao Miyazaki,日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,动画 奇幻 冒险,9.2,1369711人评价,人人心中都有个龙猫，童年就永远不会消失。
